objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Revive","332772","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","99706340","7.62038","8.06569","3.4585","91","17787","thing","Revive","1","4","120","120","90","2022","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Revive: Call of the Abyss","385685","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113094988","6.1709","8.32341","3.3684","0","4335","thing","Revive: Call of the Abyss","1","4","120","120","90","2023","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Risk","181","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713507","5.46912","5.6067","2.0615","29179","66704","thing","Risk","2","6","120","120","120","1959","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk: Star Wars – Clone Wars Edition","15045","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713518","5.65931","6.00044","2.2048","7180","4511","thing","Risk: Star Wars – Clone Wars Edition","2","4","120","120","120","2005","2,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk: The Lord of the Rings","4324","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713513","5.74175","5.9413","2.2704","5512","11479","thing","Risk: The Lord of the Rings","2","4","120","120","120","2002","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"RoboRally","18","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","4713476","6.87288","7.04573","2.4286","647","28347","thing","RoboRally","2","8","120","120","45","1994","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Through the Ages: The Bronze Age","37380","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51092520","6.61693","6.84014","1.7827","1059","13911","thing","Roll Through the Ages: The Bronze Age","1","4","45","45","30","2008","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Root","237182","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","58157743","7.88107","8.07011","3.8407","34","99905","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Runebound: Second Edition","21523","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713438","6.51742","6.90344","2.6763","1271","10919","thing","Runebound: Second Edition","2","6","240","240","120","2005","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Runebound: The Island of Dread","13081","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713441","5.96281","7.25219","2.6216","0","2784","thing","Runebound: The Island of Dread","2","6","120","120","120","2005","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"S.T.A.L.K.E.R. The Board Game","381246","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134001594","6.16822","8.65835","3.8286","2325","3263","thing","S.T.A.L.K.E.R. The Board Game","1","4","180","180","120","2024","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"SETI: Search for Extraterrestrial Intelligence","418059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131696537","8.00573","8.41868","3.8237","17","28614","thing","SETI: Search for Extraterrestrial Intelligence","1","4","160","160","40","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadowrun: Crossfire","135382","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","49754429","6.44044","7.08198","2.8429","1464","6004","thing","Shadowrun: Crossfire","1","4","60","60","30","2014","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadowrun: Crossfire – High Caliber Ops","180049","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49754448","6.01691","8.08184","2.9167","0","2086","thing","Shadowrun: Crossfire – High Caliber Ops","1","4","60","60","30","2015","1,2,3,4","2,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Shadowrun: DMZ Downtown Militarized Zone","3476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972654","5.4855","5.34805","2.5","28051","422","thing","Shadowrun: DMZ Downtown Militarized Zone","2","2","30","30","30","1990","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadowrun: Edge Zone","362636","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107777853","5.5163","6.535","2","20300","178","thing","Shadowrun: Edge Zone","2","4","0","0","0","2023","2,4","2,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Shards of Infinity","244115","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","53169765","6.82407","7.43135","2.0894","717","9544","thing","Shards of Infinity","2","4","30","30","30","2018","2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sid Meier's Civilization: The Board Game","77130","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","12376118","7.06585","7.37095","3.8988","423","22489","thing","Sid Meier's Civilization: The Board Game","2","4","240","240","120","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sid Meier's Civilization: The Boardgame","3633","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713455","5.49613","5.60074","3.6789","26346","5082","thing","Sid Meier's Civilization: The Boardgame","2","6","360","360","120","2002","3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World","40692","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","11860352","7.0862","7.19213","2.3469","402","103391","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorcerer","181819","10","7","0","1","0","0","0","0","0","0","0","3","","I really enjoy this game. Easy to pick-up and learn. Very balanced and enjoyable with randomly created decks. A ton of replayability in the box, without the expansions even. Will always play if asked.","","","","62102304","6.14562","7.49234","2.9167","2420","3738","thing","Sorcerer","2","4","90","90","30","2019","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorcerer: Bloodsoaked Fjord Domain Pack","255563","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62102313","5.55871","7.468","0","0","898","thing","Sorcerer: Bloodsoaked Fjord Domain Pack","2","4","90","90","30","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Sorcerer: Sylvanei Lineage Pack","255561","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62102317","5.56593","7.50125","3","0","905","thing","Sorcerer: Sylvanei Lineage Pack","2","4","90","90","30","2019","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Sorcerer: Virgiliu Character Pack","255559","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62102315","5.56189","7.45584","0","0","906","thing","Sorcerer: Virgiliu Character Pack","2","4","90","90","30","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Space Alert","38453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860258","7.11015","7.37862","2.971","373","23970","thing","Space Alert","1","5","30","30","30","2008","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Speakeasy","375459","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143189579","7.07346","8.48776","4.4167","412","6906","thing","Speakeasy","1","4","180","180","50","2025","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","51320395","7.29279","7.41975","1.7767","242","136826","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","49965473","7.40115","7.55243","1.9144","174","70984","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek: Frontiers","182340","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304729","6.52763","7.83113","4.3471","1250","5173","thing","Star Trek: Frontiers","1","4","240","240","60","2016","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26198533","7.65121","7.95418","3.3025","83","44919","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault – Chewbacca Ally Pack","167886","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509817","6.16207","8.0103","2.6667","0","8307","thing","Star Wars: Imperial Assault – Chewbacca Ally Pack","2","5","60","60","60","2015","2,3,4,5","2,5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault – IG-88 Villain Pack","167885","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509821","6.08336","7.91555","2.875","0","7039","thing","Star Wars: Imperial Assault – IG-88 Villain Pack","2","5","60","60","60","2015","2,3,4,5","2,5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault – Rebel Troopers Ally Pack","167887","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509826","5.98992","7.81001","2.9167","0","6469","thing","Star Wars: Imperial Assault – Rebel Troopers Ally Pack","2","5","60","60","60","2015","2,3,4,5","2,5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault – Return to Hoth","181621","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509812","6.58737","8.40779","3.0588","0","11121","thing","Star Wars: Imperial Assault – Return to Hoth","2","5","120","120","90","2015","2,3,4,5","5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Wars: Outer Rim","271896","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77769726","7.36677","7.7479","2.5884","196","27951","thing","Star Wars: Outer Rim","1","4","180","180","120","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: The Deckbuilding Game","374173","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401292","7.3242","7.81247","2.0372","222","22797","thing","Star Wars: The Deckbuilding Game","2","2","90","90","30","2023","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stardew Valley: The Board Game","332290","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98369940","6.67391","7.40526","2.7744","956","13022","thing","Stardew Valley: The Board Game","1","4","150","150","60","2021","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Starfarers of Catan","1897","5","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713498","6.3686","6.80005","2.5837","1650","8264","thing","The Starfarers of Catan","3","4","120","120","120","1999","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sub Terra: Collector's Edition","215946","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51321305","5.78714","7.82135","1.7143","0","1075","thing","Sub Terra: Collector's Edition","1","6","60","60","60","2017","1,2,3,4,5,6","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","49366935","6.87125","6.98385","1.1639","651","97002","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509744","7.14612","7.34904","2.5877","347","43395","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories: A Prophecy of Dragons","189035","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","77621237","6.89375","7.51944","2.6447","0","15447","thing","T.I.M.E Stories: A Prophecy of Dragons","2","4","180","180","90","2016","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: The Marcy Case","180585","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509747","6.96097","7.48275","2.6733","0","16983","thing","T.I.M.E Stories: The Marcy Case","2","4","90","90","60","2015","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Under the Mask","189686","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","77621242","6.60765","7.26299","2.4583","0","12448","thing","T.I.M.E Stories: Under the Mask","2","4","90","0","90","2016","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Tales from the Loop: The Board Game","306676","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90287499","5.65977","6.76667","3.3529","7160","1529","thing","Tales from the Loop: The Board Game","1","5","180","180","90","2022","1,2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales from the Loop: The Board Game – Invasive Species","352826","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90287500","0","7.39444","3","0","541","thing","Tales from the Loop: The Board Game – Invasive Species","1","5","180","180","90","2022","1,2,3,4,5","3,4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Tales from the Loop: The Board Game – The Runaway","352828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90287501","0","7.45345","3","0","554","thing","Tales from the Loop: The Board Game – The Runaway","1","5","180","180","90","2022","1,2,3,4,5","3,4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Talisman (Revised 4th Edition): The Reaper Expansion","38025","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860312","6.41852","7.34363","2.1304","0","8341","thing","Talisman (Revised 4th Edition): The Reaper Expansion","2","6","90","90","90","2008","3,4,5","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Talisman: Revised 4th Edition","27627","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546501","6.2306","6.50765","2.1723","2087","25392","thing","Talisman: Revised 4th Edition","2","6","90","90","90","2007","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: City of Gods","229853","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","59995064","7.56662","7.83751","3.7824","108","28713","thing","Teotihuacan: City of Gods","1","4","120","120","90","2018","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: Dice Settlers Promo","262936","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","55426473","5.62837","7.49963","4","0","1503","thing","Teotihuacan: Dice Settlers Promo","1","4","120","120","90","2018","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972823","8.18904","8.33964","3.2699","9","157774","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Thing: The Boardgame","295293","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98666632","6.6269","7.61982","2.9569","1039","6284","thing","The Thing: The Boardgame","1","8","90","90","60","2022","5,6,7,8","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","4713466","7.26288","7.38649","1.8202","255","147437","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride Legacy: Legends of the West","390092","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112365098","7.75669","8.64478","2.5693","54","15224","thing","Ticket to Ride Legacy: Legends of the West","2","5","90","90","20","2023","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546389","7.39629","7.52444","1.9162","176","136376","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: USA 1910","24439","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713469","7.53163","7.99388","1.8909","0","28480","thing","Ticket to Ride: USA 1910","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Too Many Bones","192135","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127397836","7.85545","8.29195","3.8698","37","25608","thing","Too Many Bones","1","4","120","120","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Too Many Bones: Age of Tyranny","239291","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127397908","6.36772","8.58152","4","0","7830","thing","Too Many Bones: Age of Tyranny","1","4","90","90","60","2018","1,2,3,4","1,2,3,4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Too Many Bones: Unbreakable","347811","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127397867","6.50554","8.80022","3.84","1299","4919","thing","Too Many Bones: Unbreakable","1","4","180","180","60","2023","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Struggle","12333","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","97572103","8.04193","8.22958","3.6143","14","73123","thing","Twilight Struggle","2","2","180","180","120","2005","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultra Ducks","6990","9","0","0","1","0","0","0","0","0","0","0","3","","I also created this game =]

Me and Olle Johansson, aka Gardener, created this game.

Come talk to us att irc, quakenet on #spelwebben (Swedish, English).","","","","1172605","5.48592","4.72525","2.3333","27997","74","thing","Ultra Ducks","2","6","90","90","90","1998","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Undaunted: Normandy","268864","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","64623535","7.39137","7.76888","2.2636","181","26388","thing","Undaunted: Normandy","2","2","60","60","45","2019","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Undaunted: North Africa","290359","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","72620501","6.93951","7.75268","2.3333","570","13750","thing","Undaunted: North Africa","2","2","60","60","45","2020","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Underwater Cities","247763","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","59995057","7.77436","8.04304","3.5852","50","29728","thing","Underwater Cities","1","4","150","150","80","2018","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"V-Sabotage","163474","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972864","6.36808","7.65673","2.7286","1651","3783","thing","V-Sabotage","1","4","180","180","30","2016","1,2,3,4","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vampire: The Masquerade – Rivals Expandable Card Game","315221","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84237612","5.79875","7.14083","3.381","4783","2139","thing","Vampire: The Masquerade – Rivals Expandable Card Game","2","4","70","70","30","2021","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication","224783","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","107153279","7.20623","7.76567","3.092","295","11742","thing","Vindication","2","5","150","150","45","2018","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication","224783","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","107401335","7.20623","7.76567","3.092","295","11742","thing","Vindication","2","5","150","150","45","2019","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Orange Nebula, LLC","English","2019","English second edition"
"Viticulture Essential Edition","183394","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","52717597","7.80831","7.96008","2.9011","44","77100","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture: Tuscany Essential Edition","202174","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","52746398","7.99896","8.53412","3.2492","0","32660","thing","Viticulture: Tuscany Essential Edition","1","6","150","150","60","2016","1,2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Walking Dead: The Prison – Board Game","156927","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401287","5.50209","5.965","2","24865","300","thing","The Walking Dead: The Prison – Board Game","2","6","60","60","60","2014","4,6","6","","","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring: The Card Game – Against the Shadow","388470","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112365392","5.78548","7.56513","3.4737","0","3479","thing","War of the Ring: The Card Game – Against the Shadow","1","2","60","60","60","2023","1,2","1","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"WarCraft: The Board Game","7479","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546509","5.79364","6.12878","2.761","4840","4814","thing","WarCraft: The Board Game","2","4","120","120","120","2003","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer 40,000: Conquest","156776","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28292551","6.51601","7.36019","3.0625","1274","6329","thing","Warhammer 40,000: Conquest","2","2","60","60","30","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer 40,000: Conquest – The Scourge","163340","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49459405","5.64253","7.68228","3.2857","0","1459","thing","Warhammer 40,000: Conquest – The Scourge","2","2","45","45","45","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Warhammer 40,000: Conquest – Zogwort's Curse","166897","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49459409","5.63036","7.575","3.375","0","1402","thing","Warhammer 40,000: Conquest – Zogwort's Curse","2","2","45","45","45","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Warhammer 40,000: Heroes of Black Reach","228051","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88013437","5.81242","7.86727","3.5161","4610","1893","thing","Warhammer 40,000: Heroes of Black Reach","2","2","120","120","30","2018","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer 40,000: Kill Team","256066","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","53252248","6.01357","7.59014","3.4333","3061","2078","thing","Warhammer 40,000: Kill Team","2","4","60","60","30","2018","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer Age of Sigmar: Champions Trading Card Game","255653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99769710","5.73267","7.34332","2.6667","5655","689","thing","Warhammer Age of Sigmar: Champions Trading Card Game","2","2","30","30","15","2018","2","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer Quest: The Adventure Card Game","181521","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509753","6.6992","7.30653","2.73","908","10833","thing","Warhammer Quest: The Adventure Card Game","1","4","60","60","30","2015","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer Underworlds: Shadespire","224597","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972872","6.53344","7.57806","2.5238","1237","4941","thing","Warhammer Underworlds: Shadespire","2","2","30","30","30","2017","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Warrior Knights","22038","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546364","6.33099","6.86887","3.5074","1749","6031","thing","Warrior Knights","2","6","240","240","120","2006","3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Weather Machine","237179","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143192135","6.83252","7.68644","4.5581","709","9001","thing","Weather Machine","2","4","150","150","60","2022","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Western Legends","232405","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56603688","7.21983","7.60338","2.8492","283","19977","thing","Western Legends","2","6","90","90","60","2018","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wild Blue Yonder","62230","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110822393","5.75574","7.6992","2.5882","5317","1122","thing","Wild Blue Yonder","1","8","180","180","15","2017","2,3,4,6","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan","266192","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","83599311","7.85014","8.00318","2.4803","38","177660","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan: European Expansion","290448","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","83599316","7.92566","8.3272","2.4346","0","60993","thing","Wingspan: European Expansion","1","5","70","70","40","2019","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
